TopicID,RefinedTopicID,OriginalAutoCoherence,OriginalSubjClarity,OriginalSubjConsistency,OriginalSubjCorrelation,OriginalDocIntrDLO,OriginalDocIntrPercent,FreqAddWords,FreqRemoveWords,FreqRemoveArticles,FreqMergeWords,FreqSplitTheme,FreqChangeWordOrder,RefinedWordLength,RefinedDocumentLength,RefinedAutoCoherence,RefindSubjClarity,RefinedSubjConsistency,RefinedSubjCorrelation,RefinedDocIntrDLO,RefinedDocIntrPercent,Duration
13,2,0.08,5,5,5,0.0,1.0,3,3,13,1,5,3,16,29,0.15,5,5,5,-1.2740352021570924,0.8,392
13,3,0.08,4,4,4,0.0,1.0,0,0,9,2,0,0,13,31,0.23333333333333336,5,4,5,0.0,1.0,185
13,4,0.08,4,4,4,0.0,1.0,1,1,1,2,3,3,17,39,0.06666666666666667,5,5,5,0.0,1.0,295
13,5,0.08,4,2,3,0.0,1.0,5,5,12,1,0,5,19,28,0.09411764705882353,5,5,5,0.0,1.0,709
13,6,0.08,4,4,4,0.0,1.0,0,0,0,0,0,3,15,40,0.14666666666666667,4,4,4,0.0,1.0,209
13,7,0.08,5,5,5,0.0,1.0,0,0,0,2,0,7,12,40,0.1,5,5,5,0.0,1.0,301
13,8,0.08,4,4,4,0.0,1.0,0,0,2,1,0,4,15,38,0.14666666666666667,5,5,5,0.0,1.0,283
14,0,0.03,3,4,4,-2.0100148203825627,0.6,1,1,2,1,3,2,15,38,0.05333333333333333,4,4,4,-3.118779667025037,0.4,178
14,1,0.03,2,1,4,-2.0100148203825627,0.6,0,0,2,0,0,0,16,38,0.025,2,3,3,-0.9569221315128329,0.8,54
14,2,0.03,1,1,1,-2.0100148203825627,0.6,0,0,30,1,0,1,8,14,0.3142857142857143,3,3,3,0.0,1.0,347
14,3,0.03,4,3,3,-2.0100148203825627,0.6,2,2,9,0,0,3,20,31,0.04,4,4,4,-1.5933782919485455,0.6,92
14,4,0.03,3,3,3,-2.0100148203825627,0.6,2,2,11,0,0,3,16,29,0.0375,4,4,4,-4.639351319843013,0.2,80
14,5,0.03,3,3,4,-2.0100148203825627,0.6,0,0,1,3,0,0,19,39,0.03333333333333333,3,3,4,-2.1675328219849792,0.6,568
14,6,0.03,2,2,3,-2.0100148203825627,0.6,3,3,7,1,3,1,16,33,0.07999999999999999,4,4,4,-5.9348962598788182,0.0,352
14,7,0.03,2,2,3,-2.0100148203825627,0.6,2,2,3,1,2,1,21,39,0.010526315789473684,3,3,3,-2.1954312083911889,0.6,241
14,8,0.03,3,3,3,-2.0100148203825627,0.6,4,4,0,0,0,3,20,40,0.06,4,4,4,-2.5447270290216952,0.4,148
15,0,0.03,4,4,4,-1.614898908107341,0.8,1,1,3,1,4,1,16,37,0.0,5,5,5,-1.2341055050540266,0.8,96
15,1,0.03,2,1,2,-1.614898908107341,0.8,3,3,15,0,0,2,7,27,0.3142857142857143,5,5,5,0.0,1.0,173
15,2,0.03,3,2,2,-1.614898908107341,0.8,6,6,0,5,0,4,24,40,-0.03333333333333333,4,4,4,0.0,1.0,323
15,3,0.03,1,4,2,-1.614898908107341,0.8,8,8,15,7,0,5,39,25,0.014814814814814814,5,5,5,0.0,1.0,501
15,4,0.03,5,4,4,-1.614898908107341,0.8,2,2,18,2,0,2,24,24,0.025,5,4,5,-1.4610820682721344,0.8,301
15,5,0.03,2,3,3,-1.614898908107341,0.8,2,2,19,2,0,1,13,21,0.05,4,5,5,0.0,1.0,187
15,6,0.03,2,2,4,-1.614898908107341,0.8,1,1,51,0,0,3,19,23,-0.0,5,4,5,0.0,1.0,399
15,7,0.03,4,3,3,-1.614898908107341,0.8,9,9,7,1,0,0,12,37,0.11666666666666668,5,5,5,-1.1287963512787453,0.8,448
15,8,0.03,3,4,4,-1.614898908107341,0.8,0,0,1,0,0,4,7,39,0.17142857142857143,5,5,5,-1.1898811025730169,0.8,50
16,0,0.1,2,4,4,-3.8660300326336836,0.6,3,3,6,1,0,4,16,35,0.08750000000000001,5,4,5,0.0,1.0,469
16,1,0.1,3,3,3,-3.8660300326336836,0.6,0,0,6,0,0,0,10,36,0.14,3,3,3,-1.2065465906733068,0.8,141
16,2,0.1,5,5,5,-3.8660300326336836,0.6,2,2,9,1,4,2,13,31,0.2,5,5,5,0.0,1.0,287
16,3,0.1,4,4,4,-3.8660300326336836,0.6,0,0,1,1,0,0,15,39,0.14285714285714288,5,5,5,0.0,1.0,122
16,4,0.1,4,4,4,-3.8660300326336836,0.6,3,3,1,1,2,1,21,39,0.03,5,5,5,0.0,1.0,501
16,5,0.1,4,4,4,-3.8660300326336836,0.6,4,4,4,0,0,4,13,36,0.25,5,5,5,0.0,1.0,530
16,6,0.1,4,4,4,-3.8660300326336836,0.6,0,0,0,0,0,4,10,40,0.32,5,5,5,0.0,1.0,417
16,7,0.1,2,3,3,-3.8660300326336836,0.6,2,2,0,0,0,5,7,40,0.2571428571428571,5,5,5,-1.3267452604438799,0.8,216
16,8,0.1,4,4,4,-3.8660300326336836,0.6,0,0,2,0,0,3,16,38,0.1,4,5,5,-1.5022698058801962,0.8,179
17,0,0.03,5,5,5,0.0,1.0,0,0,0,1,0,1,6,40,0.3,5,5,5,0.0,1.0,117
17,1,0.03,3,3,4,0.0,1.0,0,0,7,1,0,22,18,33,0.07777777777777779,4,4,4,0.0,1.0,498
17,2,0.03,4,4,4,0.0,1.0,0,0,0,4,0,7,20,40,0.05,4,5,5,0.0,1.0,652
17,3,0.03,5,5,5,0.0,1.0,3,3,0,0,0,0,17,40,0.07058823529411765,5,5,5,0.0,1.0,77
17,4,0.03,5,5,5,0.0,1.0,12,12,11,3,7,5,16,29,0.10769230769230771,5,5,5,0.0,1.0,562
17,5,0.03,4,5,4,0.0,1.0,0,0,0,9,15,4,19,40,0.05263157894736842,4,4,5,0.0,1.0,999
17,6,0.03,3,3,3,0.0,1.0,0,0,0,0,0,6,11,40,0.1272727272727273,4,4,5,0.0,1.0,127
17,7,0.03,5,5,5,0.0,1.0,4,4,0,0,0,0,23,40,0.017391304347826087,5,5,5,0.0,1.0,213
17,8,0.03,2,5,3,0.0,1.0,1,1,0,0,0,4,12,40,0.11666666666666668,4,5,5,0.0,1.0,120
18,0,0.11,5,5,5,0.0,1.0,0,0,4,2,0,4,9,38,0.044444444444444446,5,5,5,0.0,1.0,149
18,1,0.11,4,4,4,0.0,1.0,0,0,0,3,0,11,20,40,0.1368421052631579,4,4,4,0.0,1.0,165
18,2,0.11,5,5,5,0.0,1.0,0,0,0,4,0,9,16,40,0.125,5,5,5,0.0,1.0,187
18,3,0.11,4,4,4,0.0,1.0,5,5,0,0,0,0,22,40,0.016,4,4,4,0.0,1.0,95
18,4,0.11,3,4,4,0.0,1.0,6,6,11,3,0,6,20,29,0.07692307692307693,5,5,5,0.0,1.0,650
18,5,0.11,3,3,3,0.0,1.0,0,0,8,0,0,0,7,34,0.6571428571428571,4,4,4,0.0,1.0,317
